课程名称,上课老师,上课班级,上课人数,理论课周次,理论课课次,实验课周次,实验课课次
大数据分析与应用 ,张浩宇,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,1~6,4,2~6,2
大数据算法,黎玲利,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,7~12,4,8~12,2
大数据综合应用,于天,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,0,0,10~18,4
机器学习,刘勇,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,1~6,4,2~7,2
深度学习,马吉权,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,7~12,4,8~12,2
人工智能综合应用,马吉权,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,0,0,10~18,4
软件项目管理,丁大勇,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,1~6,4,3~6,2
软件系统分析与设计,青巴图,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,7~12,4,9~12,2
软件开发综合实践,丁大勇,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,0,0,10~18,4
数值分析,陈超,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,10~18,4,13~18,2
数值分析,战扬,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,10~18,4,13~18,2
Web前端开发技术,丁海涛,20计科1班/20计科2班/20计科3班/20计科4班/20物联网1班/20物联网2班,60,0,0,9~18,4
数字图像处理,于海洋,20计科1班/20计科2班/20计科3班/20计科4班,60,13~18,4,15~18,2
数据挖掘,杨艳,19计科1班/19计科2班/19计科3班/19计科4班/19物联网1班/19物联网2班,60,1~6,4,2~6,2
移动互联网应用开发技术,常城,19计科1班/19计科2班/19计科3班/19计科4班,60,10~18,4,11~18,2
网络信息安全,高扬,19计科1班/19计科2班/19计科3班/19计科4班,60,13~18,4,15~18,2
数字逻辑,张浩宇,21物联网1班/21物联网2班,60,10~17,4,0,0
数字逻辑,王嘉芳,21物联网3班/21物联网4班,60,10~17,4,0,0
Linux下程序设计基础综合实验,王昊,21物联网1班/21物联网2班,60,0,0,13~17,4
Linux下程序设计基础综合实验,谭龙,21物联网3班/21物联网4班,60,0,0,13~17,4
汇编语言,张浩宇,20物联网1班/20物联网2班,60,1~6,4,3~7,2
算法设计与分析,金英,20物联网1班/20物联网2班,60,1~9,4,4~9,2
模拟电路基础,王宇,21物联网1班/21物联网2班,60,1~8,4,0,0
模拟电路基础,王宇,21物联网3班/21物联网4班,60,1~8,4,0,0
物联网工程新进展1,朱敬华,19物联网1班/19物联网2班,60,7~12,4,8~12,2
可视化高级程序设计,王昊,20物联网1班/20物联网2班,60,0,0,1~6,4
机器学习,刘勇,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,1~6,4,2~7,2
深度学习,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,7~12,4,8~12,2
人工智能综合应用,马吉权,19软工1班/19软工2班/19软工3班/19软工4班/19软工5班/19软工6班,60,0,0,10~17,4
Linux下程序设计基础综合实验,阚忠良,21软工3班/21软工4班,60,0,0,1~5,4
Web前端开发技术,丁海涛,20软工1班/20软工2班/20软工3班/20软工4班/20软工5班/20软工6班,60,0,0,9~18,4
